Admin2,Per captial income
Alachua,46690
Baker,33254
Bay,45690
Bradford,34179
Brevard,47911
Broward,52308
Calhoun,29526
Charlotte,42793
Citrus,39055
Clay,44042
Collier,99382
Columbia,35583
DeSoto,26128
Dixie,28314
Duval,47475
Escambia,44349
Flagler,47558
Franklin,37320
Gadsden,35885
Gilchrist,34756
Glades,26102
Gulf,46346
Hamilton,27643
Hardee,29545
Hendry,33204
Hernando,38223
Highlands,34480
Hillsborough,48452
Holmes,31822
Indian River,80818
Jackson,36014
Jefferson,41989
Lafayette,27645
Lake,43425
Lee,52064
Leon,46394
Levy,37680
Liberty,25973
Madison,33859
Manatee,48618
Marion,38293
Martin,85394
Miami-Dade,54902
Monroe,101262
Nassau,61329
Okaloosa,50681
Okeechobee,31971
Orange,46250
Osceola,35258
Palm Beach,83268
Pasco,42070
Pinellas,55607
Polk,36649
Putnam,32949
Santa Rosa,45981
Sarasota,66878
Seminole,51156
St. Johns,70498
St. Lucie,41125
Sumter,48387
Suwannee,33882
Taylor,31054
Union,22440
Volusia,44180
Wakulla,37660
Walton,64481
Washington,30268
